"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Continent
Bangladesh,"1,572",+341,60,+10,49,"1,463",1,10,0.4,"17,003",103,Asia
Kuwait,"1,524",+119,3,,225,"1,296",32,357,0.7,,,Asia
Iraq,"1,434",+19,80,+1,856,498,,36,2,"49,260","1,225",Asia
Estonia,"1,434",+34,36,+1,133,"1,265",10,"1,081",27,"36,024","27,156",Europe
Kazakhstan,"1,402",+107,17,+1,277,"1,108",22,75,0.9,"85,735","4,566",Asia
New Zealand,"1,401",+15,9,,770,622,3,291,2,"70,160","14,549",Australia/Oceania
Uzbekistan,"1,349",+47,4,,129,"1,216",8,40,0.1,"100,000","2,988",Asia
Azerbaijan,"1,283",+30,15,+2,460,808,28,127,1,"75,397","7,436",Asia
Slovenia,"1,268",+20,61,,174,"1,033",31,610,29,"38,137","18,344",Europe
Bosnia and Herzegovina,"1,167",+57,43,+2,277,847,4,356,13,"14,743","4,494",Europe
Armenia,"1,159",+48,18,+1,358,783,30,391,6,"9,632","3,250",Asia
Lithuania,"1,128",+37,32,+2,178,918,14,414,12,"48,537","17,829",Europe
North Macedonia,"1,081",+107,46,+1,121,914,15,519,22,"10,422","5,002",Europe
Oman,"1,019",+109,4,,176,839,3,200,0.8,,,Asia
Hong Kong,"1,018",+1,4,,485,529,9,136,0.5,"116,273","15,509",Asia
Cameroon,996,+148,22,+5,164,810,,38,0.8,,,Africa
Slovakia,977,+114,8,+2,167,802,5,179,1,"34,458","6,311",Europe
Cuba,862,+48,27,+3,171,664,16,76,2,"21,837","1,928",North America
Afghanistan,840,+56,30,+5,54,756,,22,0.8,,,Asia
Tunisia,822,+42,37,+2,43,742,89,70,3,"13,930","1,179",Africa
Bulgaria,800,+53,38,+2,122,640,37,115,5,"18,502","2,663",Europe
Cyprus,735,+20,12,,77,646,8,609,10,"17,923","14,845",Asia
Diamond Princess,712,,12,,644,56,7,,,,,
Latvia,675,+9,5,,57,613,3,358,3,"31,302","16,595",Europe
Andorra,673,,33,,169,471,17,"8,710",427,"1,673","21,653",Europe
Lebanon,663,+5,21,,86,556,30,97,3,"18,115","2,654",Asia
Ivory Coast,654,,6,,146,502,,25,0.2,,,Africa
Costa Rica,642,+16,4,,67,571,11,126,0.8,"9,396","1,844",North America
Ghana,641,,8,,83,550,2,21,0.3,"50,719","1,632",Africa
Djibouti,591,+156,2,,73,516,,598,2,"6,430","6,508",Africa
Niger,584,,14,,90,480,,24,0.6,"4,427",183,Africa
Burkina Faso,542,,32,,226,284,,26,2,,,Africa
Albania,518,+24,26,+1,277,215,5,180,9,"4,827","1,677",Europe
Uruguay,493,,9,,272,212,13,142,3,"10,448","3,008",South America
Kyrgyzstan,466,+17,5,,91,370,5,71,0.8,"26,147","4,008",Asia
Channel Islands,457,+10,19,+4,73,365,,"2,629",109,"3,320","19,095",Europe
Nigeria,442,+35,13,+1,152,277,2,2,0.06,"5,000",24,Africa
Bolivia,441,+44,29,+1,14,398,3,38,2,"2,185",187,South America
Guinea,438,+34,1,,49,388,,33,0.08,,,Africa
San Marino,426,+33,38,+2,55,333,15,"12,555","1,120",846,"24,933",Europe
